Name,SAT,ACT(25%-75%),GPA,Acceptance Rate,Test Policy,Major Guidance,Region
Harvard University,1500-1580 (25%-75%）,34-36,3.9(UW),4%,Required,Overall pool only,East
Yale University,1480-1560 (25%-75%）,33-35,3.95(UW),4.60%,Required,Overall pool only,East
Princeton University,1510-1580 (25%-75%）,34-36,3.97(UW),5%,Required,engineering: direct; default: indirect (AB vs BSE),East
Columbia University,1510-1560 (25%-75%）,34-36,3.97(UW),3.90%,Required,engineering: direct (SEAS),East
Brown University,1480-1560 (25%-75%）,34-36,3.97(UW),5.65%,Required,Overall pool only,East
Dartmouth College,1500-1570 (25%-75%）,33-35,3.95(UW),6%,Required,engineering: indirect,East
University of Pennsylvania,1510-1560 (25%-75%）,34-35,3.91(UW),5%,Required,"business: direct (Wharton), selective; engineering: direct",East
Cornell University,730-750(English) 770-790(Math),33-35,,8%,Required,"engineering: direct; business: direct (Dyson), selective; cs: selective",East
Stanford University,770-800(Math) 740-780(English),34-35,,3.61%,Required,Overall pool only,West
MIT,780-800(Math) 740-780(English),34-36,,4.60%,Required,cs: strong; engineering: strong; business: indirect (no UG biz school),East
University of Chicago,1510-1560 (25%-75%）,34-35,,4.48%,Optional,business: indirect,Midwest
Boston University,1420-1530 (25%-75%）,32-34,3.7-4.0(UW),11%,Optional,engineering: direct; business: direct (Questrom),East
Duke University,1520-1570 (25%-75%）,34-36,,5.20%,Optional,engineering: direct; business: indirect,South
Northwestern University,1500-1560 (25%-75%）,33-35,,7%,Optional,engineering: direct (McCormick),Midwest
Johns Hopkins University,1530-1570 (25%-75%）,35(AVG),3.95(UW),6%,Required,engineering: direct; bio: strong,East
Vanderbilt University,1510-1560 (25%-75%）,34-35,,4.50%,Optional,engineering: direct,South
Rice University,1510-1560 (25%-75%）,34-36,,8%,Optional,engineering: strong,South
Washington University in St. Louis,1490-1550 (25%-75%）,33-35,,12%,Optional,business: direct (Olin); engineering: direct; bio: strong,Midwest
UC Berkeley,Test-Blind,Test-Blind,3.89-4.00(UW) 4.31-4.65(W),11%,Test-Blind,cs: selective; business: selective; engineering: direct; bio: selective,West
UCLA,Test-Blind,Test-Blind,3.95-4.00(UW) 4.44-4.78(W),9%,Test-Blind,cs: selective; business: selective; engineering: direct,West
UC San Diego,Test-Blind,Test-Blind,4.12-4.29(W),28%,Test-Blind,cs: selective; engineering: direct; bio: strong,West
UC Santa Barbara,Test-Blind,Test-Blind,4.09-4.28(W),38.30%,Test-Blind,engineering: direct; cs: selective,West
UC Irvine,Test-Blind,Test-Blind,4.04-4.27(W) 3.84-4.00(UW),28.94%,Test-Blind,cs: selective; business: selective; engineering: direct,West
UC Davis,Test-Blind,Test-Blind,4.00-4.26(W) 3.79-4.00(UW),44.60%,Test-Blind,engineering: direct; bio: strong,West
UC Santa Cruz,Test-Blind,Test-Blind,3.83-4.20(W),72.70%,Test-Blind,Overall pool only,West
UC Riverside,Test-Blind,Test-Blind,3.65-4.16(W),87.10%,Test-Blind,Overall pool only,West
UC Merced,Test-Blind,Test-Blind,3.54-4.15(W),95.10%,Test-Blind,Overall pool only,West
University of Notre Dame,1460-1540 (25%-75%）,33-35,,9%,Optional,business: direct (Mendoza); engineering: direct,Midwest
Georgetown University,690-780(Math) 700-770(English),32-35,,13%,Required,"business: direct (McDonough), selective",East
Carnegie Mellon University,770-800(Math) 730-770(English),34-35,3.89(UW),12%,"School of Computer Science:Required 
 Else:Optional","cs: selective, extra: SAT required; engineering: direct, strong; business: direct (Tepper)",Midwest
Emory University,740-770(English) 760-800(Math),33-35,3.83(UW),10.30%,Optional,business: indirect (Goizueta),South
USC,1490-1550 (25%-75%）,33-35,3.87-4.00(UW),11.20%,Optional,business: direct (Marshall); engineering: direct; cs: strong,West
University of Michigan,690-780（Math）690-750(English),34-35,3.91(UW),16%,Optional,"business: direct (Ross), selective; engineering: direct; cs: selective",Great Lakes
NYU,1470-1570 (25%-75%）,33-35,3.7(UW),8%,Optional,"business: direct (Stern), selective; engineering: direct (Tandon); default: CAS for most majors",East
Tufts University,740-790(Math) 730-770(English),33-35,,10.80%,Optional,engineering: direct,East
Caltech,1500-1600 (25%-75%）,35-36,,3.78%,Required,cs: strong; engineering: strong,West
Babson College,1450-1530 (25%-75%）,32-34,,16%,Optional,"business: direct, strong",East
